date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:18	62876/62876	---M--	200	added ('OK')	font/woff	etag:%2264757355-f59c%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Bold.woff	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Bold.woff	(from http://www.varunbajaj.me/css/materialize.css)
12:56:26	127744/127744	---M-Z	200	added ('OK')	font/ttf	etag:W/%2264757355-1f300%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Bold.ttf	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Bold.ttf	(from http://www.varunbajaj.me/css/materialize.css)
12:57:03	276056/276056	---M--	200	added ('OK')	image/jpeg	etag:%2264757355-43658%22	http://www.varunbajaj.me/images/gamedesign/escape.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gamedesign/escape.jpg	(from http://www.varunbajaj.me/gamedesign.html)
12:57:09	267730/267730	---M--	200	added ('OK')	image/jpeg	etag:%2264757355-415d2%22	http://www.varunbajaj.me/images/gamedesign/crash.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gamedesign/crash.jpg	(from http://www.varunbajaj.me/gamedesign.html)
12:57:25	132960/132960	---M--	200	added ('OK')	image/jpeg	etag:%2264757355-20760%22	http://www.varunbajaj.me/images/gamedesign/uncharted.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gamedesign/uncharted.jpg	(from http://www.varunbajaj.me/gamedesign.html)
12:57:26	7244/7244	---M--	200	added ('OK')	image/jpeg	etag:%2264757355-1c4c%22	http://www.varunbajaj.me/images/gamedesign/wotg.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gamedesign/wotg.jpg	(from http://www.varunbajaj.me/gamedesign.html)
12:57:36	54598/54598	---M--	200	added ('OK')	image/jpeg	etag:%2264757355-d546%22	http://www.varunbajaj.me/images/gamedev/tempest.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gamedev/tempest.jpg	(from http://www.varunbajaj.me/gamedev.html)
12:57:39	183543/183543	---M--	200	added ('OK')	image/jpeg	etag:%2264757355-2ccf7%22	http://www.varunbajaj.me/images/gamedesign/lis.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gamedesign/lis.jpg	(from http://www.varunbajaj.me/gamedesign.html)
12:57:51	91128/91128	---M--	200	added ('OK')	image/jpeg	etag:%2264757355-163f8%22	http://www.varunbajaj.me/images/gamedev/donkey.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gamedev/donkey.jpg	(from http://www.varunbajaj.me/gamedev.html)
12:58:00	1893217/1893217	---M--	200	added ('OK')	image/jpeg	etag:%2264757356-1ce361%22	http://www.varunbajaj.me/images/home/pop_banner_1.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/home/pop_banner_1.jpg	(from http://www.varunbajaj.me/)
12:58:13	208553/208553	---M--	200	added ('OK')	image/jpeg	etag:%2264757355-32ea9%22	http://www.varunbajaj.me/images/gamedev/mw.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gamedev/mw.jpg	(from http://www.varunbajaj.me/gamedev.html)
12:58:42	256033/256033	---M--	200	added ('OK')	image/png	etag:%2264757355-3e821%22	http://www.varunbajaj.me/images/gameplay_prototyping/Life_Snap.PNG	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gameplay_prototyping/Life_Snap.png	(from http://www.varunbajaj.me/gameplay_prototyping.html)
12:58:53	242841/242841	---M--	200	added ('OK')	image/png	etag:%2264757355-3b499%22	http://www.varunbajaj.me/images/gameplay_prototyping/Game1.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gameplay_prototyping/Game1.png	(from http://www.varunbajaj.me/gameplay_prototyping.html)
12:59:28	604247/604247	---M--	200	added ('OK')	image/jpeg	etag:%2264757355-93857%22	http://www.varunbajaj.me/images/gamedev/idea.jpg	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gamedev/idea.jpg	(from http://www.varunbajaj.me/gamedev.html)
12:59:30	5616/5616	---M--	200	added ('OK')	image/png	etag:%2264757355-15f0%22	http://www.varunbajaj.me/images/gameplay_prototyping/Game5.png	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/images/gameplay_prototyping/Game5.png	(from http://www.varunbajaj.me/gameplay_prototyping.html)
